Municipality Name,County, Total,,,,,,,,,,,,,,,
Green Brook township,Sussex,70552833,,,,,,,,,,,,,,,
Green township,Somerset,23460946,,,,,,,,,,,,,,,
Greenwich township,Gloucester,54655100,,,,,,,,,,,,,,,
Greenwich township,Warren,42503588,,,,,,,,,,,,,,,
Guttenberg town,Hudson,23643835,,,,,,,,,,,,,,,
Hackensack city,Bergen,529538853,,,,,,,,,,,,,,,
Hackettstown town,Warren,109292800,,,,,,,,,,,,,,,
Haddon Heights borough,Camden,58137565,,,,,,,,,,,,,,,
Haddon township,Camden,90335310,,,,,,,,,,,,,,,
Haddonfield borough,Camden,92376390,,,,,,,,,,,,,,,
Hainesport township,Burlington,56944380,,,,,,,,,,,,,,,
Haledon borough,Passaic,34290397,,,,,,,,,,,,,,,
Hamburg borough,Sussex,30530282,,,,,,,,,,,,,,,
Hamilton township,Mercer,809715635,,,,,,,,,,,,,,,
Hampton borough,Hunterdon,11225701,,,,,,,,,,,,,,,
Hampton township,Sussex,40266552,,,,,,,,,,,,,,,
Hanover township,Morris,243638680,,,,,,,,,,,,,,,
Harding township,Morris,24696045,,,,,,,,,,,,,,,
Hardwick township,Warren,8439017,,,,,,,,,,,,,,,
Hardyston township,Sussex,61365154,,,,,,,,,,,,,,,
Harmony township,Warren,17138948,,,,,,,,,,,,,,,
Harrington Park borough,Bergen,35030820,,,,,,,,,,,,,,,
Harrison town,Hudson,70002112,,,,,,,,,,,,,,,
Harrison township,Gloucester,123728795,,,,,,,,,,,,,,,
Harvey Cedars borough,Ocean,3782858,,,,,,,,,,,,,,,
Hasbrouck Heights borough,Bergen,77812298,,,,,,,,,,,,,,,
Haworth borough,Bergen,22191020,,,,,,,,,,,,,,,
Hawthorne borough,Passaic,132447158,,,,,,,,,,,,,,,
Hazlet township,Monmouth,152385786,,,,,,,,,,,,,,,
Helmetta borough,Middlesex,14051981,,,,,,,,,,,,,,,
High Bridge borough,Hunterdon,28322990,,,,,,,,,,,,,,,
Highland Park borough,Middlesex,79257117,,,,,,,,,,,,,,,
Highlands borough,Monmouth,32501782,,,,,,,,,,,,,,,
Hightstown borough,Mercer,43169645,,,,,,,,,,,,,,,
Hillsborough township,Somerset,304710806,,,,,,,,,,,,,,,
Hillsdale borough,Bergen,64960427,,,,,,,,,,,,,,,
Hillside township,Union,147429275,,,,,,,,,,,,,,,
Hi-Nella borough,Camden,6486780,,,,,,,,,,,,,,,
Hoboken city,Hudson,167122156,,,,,,,,,,,,,,,
Ho-Ho-Kus borough,Bergen,26287994,,,,,,,,,,,,,,,
Holland township,Hunterdon,36335412,,,,,,,,,,,,,,,
Holmdel township,Monmouth,186210731,,,,,,,,,,,,,,,
Hopatcong borough,Sussex,115014742,,,,,,,,,,,,,,,
Hope township,Warren,14789792,,,,,,,,,,,,,,,
Hopewell borough,Mercer,21120360,,,,,,,,,,,,,,,
Hopewell township,Mercer,221178685,,,,,,,,,,,,,,,
Howell township,Monmouth,431677512,,,,,,,,,,,,,,,
Independence township,Warren,27838235,,,,,,,,,,,,,,,
Interlaken borough,Monmouth,2981589,,,,,,,,,,,,,,,
Irvington township,Essex,195926169,,,,,,,,,,,,,,,
Island Heights borough,Ocean,9298216,,,,,,,,,,,,,,,
Jackson township,Ocean,460270907,,,,,,,,,,,,,,,
Jamesburg borough,Middlesex,54953385,,,,,,,,,,,,,,,
Jefferson township,Morris,169175955,,,,,,,,,,,,,,,
Jersey City city,Hudson,995632309,,,,,,,,,,,,,,,
Keansburg borough,Monmouth,36902614,,,,,,,,,,,,,,,
Kearny town,Hudson,230236743,,,,,,,,,,,,,,,
Kenilworth borough,Union,160526432,,,,,,,,,,,,,,,
Keyport borough,Monmouth,67112201,,,,,,,,,,,,,,,
Kingwood township,Hunterdon,30158782,,,,,,,,,,,,,,,
Kinnelon borough,Morris,68645414,,,,,,,,,,,,,,,
Knowlton township,Warren,23910953,,,,,,,,,,,,,,,
Lacey township,Ocean,188188773,,,,,,,,,,,,,,,
Lafayette township,Sussex,34274050,,,,,,,,,,,,,,,
Lake Como borough,Monmouth,9512538,,,,,,,,,,,,,,,
Lakehurst borough,Ocean,26148517,,,,,,,,,,,,,,,
Lakewood township,Ocean,598515992,,,,,,,,,,,,,,,
Lambertville city,Hunterdon,43340405,,,,,,,,,,,,,,,
Laurel Springs borough,Camden,10383885,,,,,,,,,,,,,,,
Lavallette borough,Ocean,10523036,,,,,,,,,,,,,,,
Lawnside borough,Camden,34317300,,,,,,,,,,,,,,,
Lawrence township,Mercer,411478370,,,,,,,,,,,,,,,
Lebanon borough,Hunterdon,37484377,,,,,,,,,,,,,,,
Lebanon township,Hunterdon,37621440,,,,,,,,,,,,,,,
Leonia borough,Bergen,49373594,,,,,,,,,,,,,,,
Liberty township,Warren,14695473,,,,,,,,,,,,,,,
Lincoln Park borough,Morris,98512995,,,,,,,,,,,,,,,
Linden city,Union,315949375,,,,,,,,,,,,,,,
Lindenwold borough,Camden,88849760,,,,,,,,,,,,,,,
Little Egg Harbor township,Ocean,156529054,,,,,,,,,,,,,,,
Little Falls township,Passaic,106443493,,,,,,,,,,,,,,,
Little Ferry borough,Bergen,75956572,,,,,,,,,,,,,,,
Little Silver borough,Monmouth,40042766,,,,,,,,,,,,,,,
Livingston township,Essex,293859944,,,,,,,,,,,,,,,
Loch Arbour village,Monmouth,856687,,,,,,,,,,,,,,,
Lodi borough,Bergen,150783235,,,,,,,,,,,,,,,
Logan township,Gloucester,159526535,,,,,,,,,,,,,,,
Long Beach township,Ocean,30325950,,,,,,,,,,,,,,,
Long Branch city,Monmouth,202782705,,,,,,,,,,,,,,,
Long Hill township,Morris,79529978,,,,,,,,,,,,,,,
